method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,confusion_matrix,confusion_matrix_percentage,roc_curve
EfficientNetB4,,398.9395844936371,76.19601035118103,222,212,38,28,0.888,0.848,0.8538461538461538,0.868,0.132,0.8705882352941177,"<a href=""./images/c02e934c-4c4b-11ec-bbde-68f728e1134a.png""><img src=""./images/c02e934c-4c4b-11ec-bbde-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/c0503ef7-4c4b-11ec-a724-68f728e1134a.png""><img src=""./images/c0503ef7-4c4b-11ec-a724-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/c0632c54-4c4b-11ec-b336-68f728e1134a.png""><img src=""./images/c0632c54-4c4b-11ec-b336-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB2,,224.6697962284088,43.759491205215454,217,214,36,33,0.868,0.856,0.857707509881423,0.862,0.138,0.8628230616302187,"<a href=""./images/c7db0b21-4c49-11ec-aeea-68f728e1134a.png""><img src=""./images/c7db0b21-4c49-11ec-aeea-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/c7f8b857-4c49-11ec-b255-68f728e1134a.png""><img src=""./images/c7f8b857-4c49-11ec-b255-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/c80b0a78-4c49-11ec-80de-68f728e1134a.png""><img src=""./images/c80b0a78-4c49-11ec-80de-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet152,,742.2386538982391,146.82669591903687,206,223,27,44,0.824,0.892,0.8841201716738197,0.858,0.14200000000000002,0.8530020703933747,"<a href=""./images/998584e2-4c59-11ec-92e2-68f728e1134a.png""><img src=""./images/998584e2-4c59-11ec-92e2-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/99acbba2-4c59-11ec-b61d-68f728e1134a.png""><img src=""./images/99acbba2-4c59-11ec-b61d-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/99c2aef7-4c59-11ec-a4a5-68f728e1134a.png""><img src=""./images/99c2aef7-4c59-11ec-a4a5-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB7,,972.912486076355,187.32150220870972,202,228,22,48,0.808,0.912,0.9017857142857143,0.86,0.14,0.8523206751054853,"<a href=""./images/1711d3f5-4c52-11ec-a4a4-68f728e1134a.png""><img src=""./images/1711d3f5-4c52-11ec-a4a4-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/17350a67-4c52-11ec-a6e4-68f728e1134a.png""><img src=""./images/17350a67-4c52-11ec-a6e4-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/174a139a-4c52-11ec-8392-68f728e1134a.png""><img src=""./images/174a139a-4c52-11ec-8392-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB3,,298.34088015556335,60.61116075515747,204,224,26,46,0.816,0.896,0.8869565217391304,0.856,0.14400000000000002,0.85,"<a href=""./images/a0fdda9e-4c4a-11ec-89cd-68f728e1134a.png""><img src=""./images/a0fdda9e-4c4a-11ec-89cd-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/a11b1084-4c4a-11ec-a5ed-68f728e1134a.png""><img src=""./images/a11b1084-4c4a-11ec-a5ed-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/a12d18f4-4c4a-11ec-a50e-68f728e1134a.png""><img src=""./images/a12d18f4-4c4a-11ec-a50e-68f728e1134a.png"" width=200 height=200 /></a>"
GradientBoostingClassifier,An GradientBoost classifier,8462.812105178833,0.7118322849273682,213,204,46,37,0.852,0.816,0.8223938223938224,0.834,0.16600000000000004,0.8369351669941061,"<a href=""./images/c580dd47-4c44-11ec-8449-68f728e1134a.png""><img src=""./images/c580dd47-4c44-11ec-8449-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/c59f820a-4c44-11ec-97c5-68f728e1134a.png""><img src=""./images/c59f820a-4c44-11ec-97c5-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/c559542d-4c44-11ec-adcf-68f728e1134a.png""><img src=""./images/c559542d-4c44-11ec-adcf-68f728e1134a.png"" width=200 height=200 /></a>"
NonLinearSVM,Non Linear Support Vector Classification,160.09184336662292,143.843346118927,215,199,51,35,0.86,0.796,0.8082706766917294,0.828,0.17200000000000004,0.8333333333333333,"<a href=""./images/2c0d601d-4c2d-11ec-beae-68f728e1134a.png""><img src=""./images/2c0d601d-4c2d-11ec-beae-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/2c2c8687-4c2d-11ec-8d30-68f728e1134a.png""><img src=""./images/2c2c8687-4c2d-11ec-8d30-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/2be589b5-4c2d-11ec-ace9-68f728e1134a.png""><img src=""./images/2be589b5-4c2d-11ec-ace9-68f728e1134a.png"" width=200 height=200 /></a>"
AdaBoostClassifier,An AdaBoost classifier,1617.6270763874054,26.441171407699585,217,194,56,33,0.868,0.776,0.7948717948717948,0.822,0.17800000000000005,0.8298279158699808,"<a href=""./images/0fc951e1-4c31-11ec-9c81-68f728e1134a.png""><img src=""./images/0fc951e1-4c31-11ec-9c81-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/10390a42-4c31-11ec-9af5-68f728e1134a.png""><img src=""./images/10390a42-4c31-11ec-9af5-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/0f9e8fca-4c31-11ec-85f6-68f728e1134a.png""><img src=""./images/0f9e8fca-4c31-11ec-85f6-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB1,,210.77638459205627,41.03779673576355,195,224,26,55,0.78,0.896,0.8823529411764706,0.838,0.16200000000000003,0.8280254777070064,"<a href=""./images/24ffbc48-4c49-11ec-b765-68f728e1134a.png""><img src=""./images/24ffbc48-4c49-11ec-b765-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/251da9ec-4c49-11ec-8386-68f728e1134a.png""><img src=""./images/251da9ec-4c49-11ec-8386-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/252ff4a7-4c49-11ec-971c-68f728e1134a.png""><img src=""./images/252ff4a7-4c49-11ec-971c-68f728e1134a.png"" width=200 height=200 /></a>"
LinearSVM,Linear Support Vector Classification,632.0736656188965,0.9320664405822754,209,204,46,41,0.836,0.816,0.8196078431372549,0.826,0.17400000000000004,0.8277227722772277,"<a href=""./images/1efef7e0-4c2c-11ec-996f-68f728e1134a.png""><img src=""./images/1efef7e0-4c2c-11ec-996f-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/1f1df072-4c2c-11ec-9328-68f728e1134a.png""><img src=""./images/1f1df072-4c2c-11ec-9328-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/1ecdd860-4c2c-11ec-9807-68f728e1134a.png""><img src=""./images/1ecdd860-4c2c-11ec-9807-68f728e1134a.png"" width=200 height=200 /></a>"
