method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score,confusion_matrix,confusion_matrix_percentage,roc_curve
ResNet152,,1420.8083283901215,288.32601594924927,449,475,25,51,0.898,0.95,0.9472573839662447,0.924,0.07599999999999996,0.9219712525667352,2.1487008383642037,"<a href=""./images/22dbdaea-4ea9-11ec-ac08-68f728e1134a.png""><img src=""./images/22dbdaea-4ea9-11ec-ac08-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/22fab91c-4ea9-11ec-be65-68f728e1134a.png""><img src=""./images/22fab91c-4ea9-11ec-be65-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/230ca1e7-4ea9-11ec-ac9d-68f728e1134a.png""><img src=""./images/230ca1e7-4ea9-11ec-ac9d-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB1,,373.5280010700226,77.84799075126648,471,451,49,29,0.942,0.902,0.9057692307692308,0.922,0.07799999999999996,0.9235294117647058,2.110992911010559,"<a href=""./images/f6e54f95-4e8a-11ec-bbe5-68f728e1134a.png""><img src=""./images/f6e54f95-4e8a-11ec-bbe5-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/f7048fb9-4e8a-11ec-a2c3-68f728e1134a.png""><img src=""./images/f7048fb9-4e8a-11ec-a2c3-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/f716d9cc-4e8a-11ec-9482-68f728e1134a.png""><img src=""./images/f716d9cc-4e8a-11ec-9482-68f728e1134a.png"" width=200 height=200 /></a>"
GradientBoostingClassifier,An GradientBoost classifier,19030.745787143707,1.5207912921905518,438,480,20,62,0.876,0.96,0.9563318777292577,0.918,0.08199999999999996,0.9144050104384134,2.0477478881140843,"<a href=""./images/9b00a42b-4e82-11ec-8453-68f728e1134a.png""><img src=""./images/9b00a42b-4e82-11ec-8453-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/9b2d1c79-4e82-11ec-80e1-68f728e1134a.png""><img src=""./images/9b2d1c79-4e82-11ec-80e1-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/9ad91c5d-4e82-11ec-97f7-68f728e1134a.png""><img src=""./images/9ad91c5d-4e82-11ec-97f7-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB3,,532.9289183616638,111.92619514465332,442,468,32,58,0.884,0.936,0.9324894514767933,0.91,0.08999999999999997,0.9075975359342916,1.9311588242259365,"<a href=""./images/9a052401-4e8d-11ec-99a2-68f728e1134a.png""><img src=""./images/9a052401-4e8d-11ec-99a2-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/9a2484c9-4e8d-11ec-9ddc-68f728e1134a.png""><img src=""./images/9a2484c9-4e8d-11ec-9ddc-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/9a36cf9a-4e8d-11ec-b134-68f728e1134a.png""><img src=""./images/9a36cf9a-4e8d-11ec-b134-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB7,,1814.9190683364868,365.95502495765686,452,456,44,48,0.904,0.912,0.9112903225806451,0.908,0.09199999999999997,0.9076305220883534,1.904300815041372,"<a href=""./images/52bcf3c5-4e9b-11ec-83f9-68f728e1134a.png""><img src=""./images/52bcf3c5-4e9b-11ec-83f9-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/52dbd1ed-4e9b-11ec-aa37-68f728e1134a.png""><img src=""./images/52dbd1ed-4e9b-11ec-aa37-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/52ee3325-4e9b-11ec-a2d5-68f728e1134a.png""><img src=""./images/52ee3325-4e9b-11ec-a2d5-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB4,,720.3119747638702,147.77849292755127,436,470,30,64,0.872,0.94,0.9356223175965666,0.906,0.09399999999999997,0.9026915113871635,1.8805377746872813,"<a href=""./images/a3ab00bc-4e8f-11ec-8459-68f728e1134a.png""><img src=""./images/a3ab00bc-4e8f-11ec-8459-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/a3cbb413-4e8f-11ec-9104-68f728e1134a.png""><img src=""./images/a3cbb413-4e8f-11ec-9104-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/a3de38f7-4e8f-11ec-86ed-68f728e1134a.png""><img src=""./images/a3de38f7-4e8f-11ec-86ed-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB0,,268.8964695930481,55.782893896102905,430,473,27,70,0.86,0.946,0.9409190371991247,0.903,0.09699999999999998,0.8986415882967607,1.8452405329198396,"<a href=""./images/e6b9c047-4e89-11ec-a959-68f728e1134a.png""><img src=""./images/e6b9c047-4e89-11ec-a959-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e6d926e0-4e89-11ec-ad89-68f728e1134a.png""><img src=""./images/e6d926e0-4e89-11ec-ad89-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e7264dac-4e89-11ec-b5ed-68f728e1134a.png""><img src=""./images/e7264dac-4e89-11ec-b5ed-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB2,,394.93374609947205,82.41272568702698,418,484,16,82,0.836,0.968,0.9631336405529954,0.902,0.09799999999999998,0.8950749464668094,1.8348590005540109,"<a href=""./images/16594259-4e8c-11ec-8f25-68f728e1134a.png""><img src=""./images/16594259-4e8c-11ec-8f25-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/16733617-4e8c-11ec-a19b-68f728e1134a.png""><img src=""./images/16733617-4e8c-11ec-a19b-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/1683385d-4e8c-11ec-bbe3-68f728e1134a.png""><img src=""./images/1683385d-4e8c-11ec-bbe3-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet50,,571.7715017795563,116.06296944618225,425,477,23,75,0.85,0.954,0.9486607142857143,0.902,0.09799999999999998,0.8966244725738396,1.8341864709807978,"<a href=""./images/714a4173-4eae-11ec-9d43-68f728e1134a.png""><img src=""./images/714a4173-4eae-11ec-9d43-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/7163a7ee-4eae-11ec-8f70-68f728e1134a.png""><img src=""./images/7163a7ee-4eae-11ec-8f70-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/7173e3d9-4eae-11ec-886f-68f728e1134a.png""><img src=""./images/7173e3d9-4eae-11ec-886f-68f728e1134a.png"" width=200 height=200 /></a>"
NonLinearSVM,Non Linear Support Vector Classification,837.0643813610077,763.9429569244385,440,462,38,60,0.88,0.924,0.9205020920502092,0.902,0.09799999999999998,0.899795501022495,1.832956122981575,"<a href=""./images/a594e191-4e4d-11ec-8098-68f728e1134a.png""><img src=""./images/a594e191-4e4d-11ec-8098-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/a5beb8c6-4e4d-11ec-87e4-68f728e1134a.png""><img src=""./images/a5beb8c6-4e4d-11ec-87e4-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/a55d1654-4e4d-11ec-9d6e-68f728e1134a.png""><img src=""./images/a55d1654-4e4d-11ec-9d6e-68f728e1134a.png"" width=200 height=200 /></a>"
