method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
NonLinearSVM,Non Linear Support Vector Classification,227.46939992904663,180.87746262550354,215,199,51,35,0.86,0.796,0.8082706766917294,0.828,0.17200000000000004,0.8333333333333333,1.3272890831730488,0.0036634964245444474,0.004607170629426079,"<a href=""./images/c3adcaca-509c-11ec-ba4b-34e6adc36e41.png""><img src=""./images/c3adcaca-509c-11ec-ba4b-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/c3dbc7ed-509c-11ec-bb31-34e6adc36e41.png""><img src=""./images/c3dbc7ed-509c-11ec-bb31-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/c284b6ab-509c-11ec-93bf-34e6adc36e41.png""><img src=""./images/c284b6ab-509c-11ec-93bf-34e6adc36e41.png"" width=200 height=200 /></a>"
LinearSVM,Linear Support Vector Classification,802.452553987503,1.671403169631958,209,203,47,41,0.836,0.812,0.81640625,0.824,0.17600000000000005,0.8260869565217391,1.3100659214426877,0.001029452710215443,0.4942475708620578,"<a href=""./images/5f53338a-509b-11ec-9063-34e6adc36e41.png""><img src=""./images/5f53338a-509b-11ec-9063-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/5f7cb3f1-509b-11ec-b215-34e6adc36e41.png""><img src=""./images/5f7cb3f1-509b-11ec-b215-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/5f0b1948-509b-11ec-9142-34e6adc36e41.png""><img src=""./images/5f0b1948-509b-11ec-9142-34e6adc36e41.png"" width=200 height=200 /></a>"
AdaBoostClassifier,An AdaBoost classifier,1798.7239835262299,25.45801091194153,217,194,56,33,0.868,0.776,0.7948717948717948,0.822,0.17800000000000005,0.8298279158699808,1.3027988902311587,0.0004613425536491602,0.03259594470048465,"<a href=""./images/14b415b8-50a1-11ec-8b45-34e6adc36e41.png""><img src=""./images/14b415b8-50a1-11ec-8b45-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/14d1cf3b-50a1-11ec-8735-34e6adc36e41.png""><img src=""./images/14d1cf3b-50a1-11ec-8735-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/148ab399-50a1-11ec-9357-34e6adc36e41.png""><img src=""./images/148ab399-50a1-11ec-9357-34e6adc36e41.png"" width=200 height=200 /></a>"
RealBoost,An RealBoost classifier,5991.366187334061,0.9732990264892578,207,203,47,43,0.828,0.812,0.8149606299212598,0.82,0.18000000000000005,0.8214285714285714,1.2937659042619671,0.00013710204747042462,0.8439632107632006,"<a href=""./images/4559ca0d-5099-11ec-9235-34e6adc36e41.png""><img src=""./images/4559ca0d-5099-11ec-9235-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/457a55f4-5099-11ec-b3c3-34e6adc36e41.png""><img src=""./images/457a55f4-5099-11ec-b3c3-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/452be712-5099-11ec-b7f9-34e6adc36e41.png""><img src=""./images/452be712-5099-11ec-b7f9-34e6adc36e41.png"" width=200 height=200 /></a>"
KNeighborsClassifier,Classifier implementing the k-nearest neighbors vote,0.2926332950592041,11.427538871765137,211,193,57,39,0.844,0.772,0.7873134328358209,0.808,0.19199999999999995,0.8146718146718146,1.2493005839528228,2.7839341196872156,0.071290224764379,"<a href=""./images/7cdabde7-5099-11ec-8b98-34e6adc36e41.png""><img src=""./images/7cdabde7-5099-11ec-8b98-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/7d1b27dd-5099-11ec-aaa5-34e6adc36e41.png""><img src=""./images/7d1b27dd-5099-11ec-aaa5-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/7c92b524-5099-11ec-9a59-34e6adc36e41.png""><img src=""./images/7c92b524-5099-11ec-9a59-34e6adc36e41.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,686.6142339706421,384.8234553337097,200,170,80,50,0.8,0.68,0.7142857142857143,0.74,0.26,0.7547169811320756,1.0554024466099938,0.0010991863317012817,0.0019612031716663503,"<a href=""./images/4da764ac-508b-11ec-a809-34e6adc36e41.png""><img src=""./images/4da764ac-508b-11ec-a809-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/4dc5b7d9-508b-11ec-9d04-34e6adc36e41.png""><img src=""./images/4dc5b7d9-508b-11ec-9d04-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/4d7e9bd1-508b-11ec-8030-34e6adc36e41.png""><img src=""./images/4d7e9bd1-508b-11ec-8030-34e6adc36e41.png"" width=200 height=200 /></a>"
GaussianNBC,Gaussian Naive Bayes (GaussianNB),9.706174373626709,5.7482078075408936,206,154,96,44,0.824,0.616,0.6821192052980133,0.72,0.28,0.7463768115942029,1.01454318346976,0.07689711547138828,0.12984513375021942,"<a href=""./images/635b4abe-5099-11ec-9220-34e6adc36e41.png""><img src=""./images/635b4abe-5099-11ec-9220-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/637ba588-5099-11ec-8649-34e6adc36e41.png""><img src=""./images/637ba588-5099-11ec-8649-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/63250617-5099-11ec-b932-34e6adc36e41.png""><img src=""./images/63250617-5099-11ec-b932-34e6adc36e41.png"" width=200 height=200 /></a>"
ComplementNBC,The Complement Naive Bayes classifier described in Rennie et al,4.957724571228027,1.120225429534912,192,136,114,58,0.768,0.544,0.6274509803921569,0.656,0.344,0.6906474820143885,0.8955665134650146,0.13930735201034278,0.6165254455088803,"<a href=""./images/5480962e-5099-11ec-a191-34e6adc36e41.png""><img src=""./images/5480962e-5099-11ec-a191-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/54a09a2b-5099-11ec-8250-34e6adc36e41.png""><img src=""./images/54a09a2b-5099-11ec-8250-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/5455240b-5099-11ec-b148-34e6adc36e41.png""><img src=""./images/5455240b-5099-11ec-b148-34e6adc36e41.png"" width=200 height=200 /></a>"
MultinomialNBC,Naive Bayes classifier for multinomial models,5.293262243270874,1.4457125663757324,192,136,114,58,0.768,0.544,0.6274509803921569,0.656,0.344,0.6906474820143885,0.8955665134650146,0.13047671743306932,0.4777211584635927,"<a href=""./images/6a968f2d-5099-11ec-8c3f-34e6adc36e41.png""><img src=""./images/6a968f2d-5099-11ec-8c3f-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/6ac39a90-5099-11ec-836f-34e6adc36e41.png""><img src=""./images/6ac39a90-5099-11ec-836f-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/6a545d42-5099-11ec-9ca8-34e6adc36e41.png""><img src=""./images/6a545d42-5099-11ec-9ca8-34e6adc36e41.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,7.444075107574463,1.7200391292572021,203,71,179,47,0.812,0.284,0.5314136125654451,0.548,0.45199999999999996,0.6424050632911393,0.7599828309552116,0.08629749888437882,0.37348281929409455,"<a href=""./images/4e0c834a-5099-11ec-bcbd-34e6adc36e41.png""><img src=""./images/4e0c834a-5099-11ec-bcbd-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/4e339d94-5099-11ec-a537-34e6adc36e41.png""><img src=""./images/4e339d94-5099-11ec-a537-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/4ddee596-5099-11ec-82b4-34e6adc36e41.png""><img src=""./images/4ddee596-5099-11ec-82b4-34e6adc36e41.png"" width=200 height=200 /></a>"
